report_text,label
"Les oranges amères ou bigarades (Citrus aurantium L.) cultivées pour la fabrication de la confiture d’oranges amères ou pour l’huile essentielle ne sont pas prises en compte.
Source Agreste Statistique Agricole Annuelle: présentation générale",0
"L’engrain ou petit épeautre (Triticum monococcum) est une plante de la famille des poacées (graminées), première céréale domestiquée par l'homme, vers -7500, au Proche-Orient, avec le blé amidonnier.
L'engrain a une faible teneur en gluten (environ 7 %) et est panifiable mais lève peu. Source Wikipédia",0
"L'ivraie, Lolium, ou encore Zizanie, est un genre de poacée (graminée) sauvage ou cultivée comme plante fourragère. Elle est originaire des régions tempérées chaudes de l'ancien monde. Certaines espèces sont considérées comme des mauvaises herbes. Il existe une dizaine d'espèces du genre Lolium, appelé en anglais Ryegrass, d'où le terme de « ray-grass » ou « ray grass » sous lequel sont désignées en français les espèces les plus couramment cultivées. Les principales espèces cultivées sont les suivantes :  Lolium multiflorum, ivraie multiflore ou ray-grass d'Italie ,
    Lolium perenne, ivraie vivace ou ray-grass anglais.
En effet, on a longtemps cru que l'ivraie enivrante, Lolium temulentum, était la seule variété d'ivraie dont les graines étaient toxiques à hautes doses, induisant à faible dose des effets comparables à l'ivresse. Or la découverte d'un champignon endophyte, c'est-à-dire vivant en parfaite symbiose avec Lolium / Lolium temulentum par Vogl fut vérifiée, confirmée en tant qu'infection artificielle et fait régulièrement l'objet d'études approfondies. Source Wikipédia",0
"Le ray-grass anglais (Lolium perenne L.) est une plante herbacée vivace de la famille des poacées, couramment cultivée comme plante fourragère. noms communs : ivraie vivace, ray-grass anglais, ray-grass commun, bonne-herbe. Cette plante est largement cultivée seule ou en association avec du trèfle blanc comme plante fourragère et entre aussi dans les mélanges pour gazon. Source Wikipédia",0
"Plusieurs espèces ont une certaine importance en agriculture et horticulture, soit comme plantes fourragères, soit comme plantes à gazons d'agrément. Certaines sont aussi des mauvaises herbes, notamment adventices du blé et du lin. De plus la surface des terrains de tennis « gazonné » est parfois constitué d'ivraie, notamment à Wimbledon.
Source Wikipédia",0
"Le ray-grass d'Italie (Lolium multiflorum Lam.) est une plante herbacée annuelle ou bisannuelle de la famille des poacées, couramment cultivée comme plante fourragère. Noms communs : ivraie multiflore, ivraie à nombreuses fleurs, ivraie d'Italie, ray-grass d'Italie. [...] Cette plante est largement cultivée comme plante fourragère et entre aussi dans les mélanges pour gazon. De très bonne qualité fourragère, c'est une des principales espèces cultivées dans les prairies temporaires.
Parfois considérée comme mauvaise herbe, c'est une plante dont les racines peuvent aller chercher eau et nutriments jusqu'à 1,70 m de profondeur aussi bien en sol argileux que limoneux1. Elle permet donc d'améliorer rapidement la qualité des sols pauvres et compactés.Source Wikipédia",0
"le ray-grass (lolium perenne L. et lolium multiflorum Lam), ray-grass d'Italie de très courte durée (en particulier en dérobée)
ainsi que les débuts et fins de cycle de prairies de ray-grass (d'Italie, anglais ou hybride). Les ray-grass occupant le sol une
campagne agricole complète sont par convention comptés en prairie ; Source Agreste Statistique Agricole Annuelle: présentation générale",0
Abricot (Prunus armeniaca L.) Source Agreste Statistique Agricole Annuelle: présentation générale,0
Abricots pays (Mammea americana) ou mamey. Source Agreste Statistique Agricole Annuelle: présentation générale,0
L'abricotier des Antilles ou abricotier-pays (Mammea americana L.) est un arbre fruitier originaire des Grandes Antilles. Son fruit est appelé abricot pays ou encore mamey. Source Wikipédia,0
"Actinidia ou Kiwi (Actinidia deliciosa [A. Chev.] C.F. Liang et A.R. Ferguson) : fruit également appelé yang tao, groseille de Chine. Source Agreste Statistique Agricole Annuelle: présentation générale",0
Source registre parcellaire data.gouv.fr,0
"Ail (Allium sativum L.) : en vert, en sec. La récolte a lieu à partir de mai-juin pour une commercialisation en vert ou en demi-sec et à partir du 15 juin jusqu’au 15 juillet pour une commercialisation en sec. Source Agreste Statistique Agricole Annuelle: présentation générale",0
"L’alpiste (Phalaris canariensis) est une plante herbacée de la famille des Poacées (anciennement graminées), sous-famille des Pooideae, tribu des Aveneae, cultivée comme céréale secondaire pour ses graines appréciées des oiseaux. Source Wikipédia",0
alpiste (Phalaris canariensis) Source Agreste Statistique Agricole Annuelle: présentation générale,0
Amandes (Prunus dulcis [Mill.] D.A. Webb) Source Agreste Statistique Agricole Annuelle: présentation générale,0
"Ananas (Ananas comosus L.) : toutes les variétés, ananas bouteilles, queen, ... Source Agreste Statistique Agricole Annuelle: présentation générale",0
culture d'arbres et d'arbustes,0
"CULTURES FRUITIÈRES
On appelle verger toute plantation régulière d’arbres fruitiers d’une densité au moins égale à 100 pieds à l’hectare. Quand la densité est inférieure, on parlera d’arbres isolés. Les jachères de vergers sont classées en jachères.
Sont exclus les arbres isolés des jardins familiaux, de même que les petits vergers familiaux destinés à l’autoconsommation. Dans le cas de mélanges d’espèces fruitières, la superficie est répartie entre les espèces selon la surface occupée par chacune d’elles (règle du prorata). Sont regroupés les vergers purs et les vergers associés. La surface de ceux-ci est l’ensemble de la surface plantée d’arbres (la règle du prorata ne s’applique pas). Notons cependant qu’un verger « associé » doit répondre aux critères définissant un verger : si la densité est insuffisante, il s’agira d’arbres isolés. La production récoltée s’entend, comme pour les légumes, hors jardin (et verger) familiaux. Elle n’est pas destinée à l’autoconsommation. Elle peut être appelée production « commercialisable ». Les fruits sont subdivisés entre fruits à noyau, fruits à pépins, fruits à coque, baies, fruits divers, agrumes.
Source Agreste Statistique Agricole Annuelle: présentation générale",0
Baies. Source Agreste Statistique Agricole Annuelle: présentation générale,0
Fruits à coque. Source Agreste Statistique Agricole Annuelle: présentation générale,0
"Arbres cultivés pour leurs fruits contenant un noyau, c'est-à-dire une partie centrale dure servant à la reproduction de l'arbre fruitier. Source wikipédia",0
Fruits à pépins. Source Agreste Statistique Agricole Annuelle: présentation générale,0
"Artichauts (Cynara scolymus L.) : frais, pédoncule 10 cm. Les principales variétés cultivées sont : Camus de Bretagne, Violet de Provence, Blanc Hyérois et leurs hybrides. Source Agreste Statistique Agricole Annuelle: présentation générale",0
"L’artichaut (Cynara scolymus) est une plante dicotylédone de la famille des Astéracées (ou Composées) appartenant au genre Cynara.[...] L'artichaut lui-même est un chardon domestiqué et cultivé, de l'espèce Cynara cardunculus, dont la variété sauvage est sans doute Cynara cardunculus sylvestris, ayant donné naissance à deux formes : C. cardunculus f. cardunculus, le cardon, et C. cardunculus f. scolymus, l'artichaut. Ces deux formes ont longtemps été considérées comme des espèces différentes. On désigne sous le nom d'artichaut à la fois la plante entière et sa partie comestible, l'inflorescence en capitule, appelée aussi tête d'artichaut. Source Wikipédia",0
"Asperges (Asparagus officinalis L.) Asperges vertes, blanches et violettes. Il s’agit de la superficie en production. Les plants et griffes d’asperges sont exclus. La production d’asperges est en frais, en l’état. Source Agreste Statistique Agricole Annuelle: présentation générale",0
